brand,model,year,fuel_type,transmission,km_driven,owner_type,city,mileage,engine_cc,condition_rating,original_price,listed_price,estimated_final_price,days_to_sell,bargain_percent,car_age,depreciation_amount,resale_value_percent,demand_score,brand_popularity_score,price_per_km,premium_car
Renault,Triber,2024,Diesel,Manual,9096,First,Coimbatore,22,999,10,940065,833743,775380,26,7,1,126310,88.69,6.85,5,91.66,0
Kia,Seltos,2021,Diesel,Manual,105781,Third,Pune,22,1497,5,1380523,986383,897608,37,9,4,411516,71.45,7.04,8,9.32,0
Honda,HR-V,2019,Diesel,Automatic,72529,Second,Pune,23,1498,5,1295444,558206,541459,29,3,6,710868,43.09,6.8,9,7.7,0
Skoda,Kodiaq,2024,Petrol,Automatic,23873,Fourth,Jaipur,13,1984,10,5057816,4604129,4419963,6,4,1,588680,91.03,8.99,6,192.86,1
Ford,EcoSport,2019,Diesel,Automatic,88528,First,Lucknow,28,1497,7,1195081,626102,588535,39,6,6,604671,52.39,6.62,5,7.07,0
Ford,Aspire,2025,Petrol,Automatic,4496,Third,Bhopal,,1194,9,1128284,1071869,857495,44,20,0,0,95,6.88,4,238.41,0
Maruti,Ciaz,2021,Diesel,Manual,67369,Second,Chandigarh,17,1462,6,1053870,723481,701776,34,3,4,352649,68.65,8.57,10,10.74,0
MG,Gloster,2023,Petrol,Manual,43202,Second,Bhopal,13,1996,9,4752467,3753498,3340613,10,11,2,1026311,78.98,7.38,8,86.88,1
Toyota,Camry,2010,Diesel,Automatic,165028,First,Chennai,21,2487,3,3726748,559012,475160,57,15,15,4026519,15,5.3,8,3.39,1
Mahindra,XUV300,2023,Petrol,Automatic,26677,Second,Chennai,16,1199,8,1048864,862900,733465,37,15,2,212941,82.27,8.23,8,32.35,0
MG,Astor,2013,Petrol,Automatic,241479,Third,Surat,15,1497,3,1051569,157735,127765,48,19,12,1030890,15,5.32,7,0.65,0
Toyota,Urban Cruiser,2020,Petrol,Manual,130018,Third,Chandigarh,16,1462,5,1031960,635687,546690,34,14,5,383098,61.6,6.71,9,4.89,0
Tata,Tigor,2024,Diesel,Manual,10631,First,Hyderabad,17,1199,10,1004444,867839,755019,21,13,1,129118,86.4,9.23,8,130.91,0
Volkswagen,Vento,2022,Petrol,Manual,47558,Third,Bhopal,21,1598,9,1233515,892324,749552,50,16,3,354204,72.34,7.43,6,18.76,0
Toyota,Urban Cruiser,2012,Diesel,Manual,290086,Second,Kolkata,19,1462,3,874610,131191,114136,51,13,13,862697,15,5.81,9,0.45,0
Honda,WR-V,2020,CNG,Manual,52994,First,Jaipur,21,1199,8,1046814,681894,620523,33,9,5,357155,65.14,8.4,7,12.87,0
Honda,WR-V,2022,CNG,Automatic,50704,First,Lucknow,29,1199,8,1192699,842880,792307,42,6,3,364431,70.67,7.07,9,16.62,0
Maruti,WagonR,2024,Petrol,Automatic,30129,Third,Lucknow,13,1197,7,754129,692441,595499,38,14,1,79731,91.82,7.67,10,22.98,0
Kia,Seltos,2010,Diesel,Automatic,225513,Second,Bangalore,26,1497,3,741413,111211,104538,59,6,15,834102,15,2.78,7,0.49,0
Kia,Seltos,2020,Diesel,Manual,92104,Third,Surat,20,1497,6,1366559,824991,692992,43,16,5,561438,60.37,7.51,8,8.96,0
Tata,Safari,2022,Petrol,Automatic,39151,Second,Chennai,15,1956,8,2564279,1793456,1524437,,15,3,783657,69.94,9.63,9,45.81,0
Skoda,Slavia,2025,Diesel,Manual,500,Second,Bhopal,17,1498,10,1583957,1504759,1294092,31,14,0,0,95,8.46,7,3009.52,0
Toyota,Glanza,2022,CNG,Manual,69655,Third,Chennai,22,1197,6,1117374,797469,757595,29,5,3,347571,71.37,6.25,9,22.29,0
Nissan,Magnite,2021,Petrol,Manual,59774,Second,Surat,21,999,6,843504,557471,457126,31,18,4,303287,66.09,7.03,5,9.33,0
Kia,Carens,2016,Diesel,Automatic,153301,First,Delhi,24,1497,5,1010204,209011,204830,41,2,9,811204,20.69,7.51,8,1.36,0
Renault,Triber,2023,Petrol,Manual,21615,First,Nagpur,15,999,9,1023086,818161,719981,44,12,2,200870,79.97,9.28,7,37.85,0
Maruti,Baleno,2023,Diesel,Manual,30133,Second,Pune,27,1197,10,942694,708434,580915,32,18,2,210323,75.15,9.78,10,23.51,0
Toyota,Camry,2024,Petrol,Automatic,9224,First,Bangalore,14,2487,9,6557504,5904376,5136807,21,13,1,758575,90.04,9.36,10,640.11,1
Nissan,Terrano,2019,Petrol,Manual,69124,First,Nagpur,17,1460,7,1255431,563688,490408,26,13,6,688647,44.9,7.19,6,8.15,0
Honda,City,2019,Petrol,Automatic,117970,Fourth,Chennai,13,1497,5,1110247,628843,547093,49,13,6,490441,56.64,5.64,9,5.33,0
Kia,EV6,2013,Diesel,Automatic,266702,Third,Ahmedabad,25,0,1,5087432,763114,656278,73,14,12,4312709,15,3.03,6,2.86,1
Hyundai,Venue,2023,Diesel,Manual,17894,First,Jaipur,27,1197,9,1241349,979300,881370,19,10,2,272230,78.89,7.52,8,54.73,0
Tata,Harrier,2023,Diesel,Manual,18493,Third,Lucknow,25,,8,2425998,1977673,1582138,52,20,2,517675,81.52,6.61,7,106.94,0
Honda,WR-V,2025,Petrol,Manual,955,Third,Chandigarh,14,1199,9,1303751,1238563,1176634,17,5,0,0,95,8.01,8,1296.92,0
Nissan,Kicks,2024,Petrol,Automatic,9099,First,Ahmedabad,17,1461,9,1375792,1244266,1032740,40,17,1,157593,90.44,7.15,4,136.75,0
Nissan,Magnite,2024,Petrol,Manual,26492,Fourth,Nagpur,19,999,10,1142139,1033407,857727,39,17,1,142609,90.48,7.43,6,39.01,0
Kia,Carens,2024,Diesel,Manual,9225,First,Jaipur,23,1497,9,1570246,1337849,1137171,35,15,1,191421,85.2,8.78,7,145.02,0
Kia,EV6,2024,Petrol,Automatic,15691,Second,Lucknow,20,0,9,8344373,7589207,6450825,18,15,1,890248,90.95,7.66,6,483.67,1
Hyundai,i20,2020,PETROL,Manual,52182,First,Nagpur,19,1197,8,1069251,612039,581437,46,5,5,452214,57.24,6.58,8,11.73,0
Mahindra,Thar,2020,Petrol,Manual,63517,Second,Pune,17,2184,7,2042572,1323995,1218075,43,8,5,772267,64.82,7.62,9,20.84,0
Tata,Tiago,2024,Petrol,Automatic,13755,Second,Kolkata,15,1199,10,737274,625798,594508,27,5,1,89442,84.88,7.91,7,45.5,0
Kia,EV6,2024,Petrol,Automatic,4775,First,Bhopal,18,0,10,8840802,7740122,7430517,30,4,1,916028,87.55,7.77,6,1620.97,1
Hyundai,Grand i10,2024,Petrol,Manual,9685,First,Nagpur,17,1197,10,881779,797128,725386,26,9,1,100619,90.4,10,9,82.31,0
Maruti,Ciaz,2022,Petrol,Automatic,44710,Third,Lucknow,17,1462,9,1269730,862400,681296,41,21,3,422771,67.92,8.34,9,19.29,0
Hyundai,i20,2022,Diesel,Manual,43273,First,Ahmedabad,17,1197,9,984093,690538,621484,27,10,3,281035,70.17,8.93,8,15.96,0
Ford,Aspire,2021,Petrol,Automatic,35330,First,Ahmedabad,21,1194,8,1035311,672330,638713,25,5,4,333490,64.94,8.27,5,19.03,0
Kia,Sonet,2020,Petrol,Manual,116029,Third,Mumbai,18,1199,6,923334,522145,469930,41,10,5,385230,56.55,7.7,8,4.5,0
Kia,EV6,2024,Petrol,Automatic,13647,Second,Chennai,17,0,9,9365356,8614254,7838971,10,9,1,986767,91.98,6.98,6,631.22,1
Tata,Safari,2023,Petrol,Automatic,20519,Second,Hyderabad,21,1956,8,2474969,2032444,1788550,42,12,2,506604,82.12,8.46,9,99.05,0
Maruti,Dzire,2022,Diesel,Automatic,35378,First,Hyderabad,,1197,9,976314,737409,693164,16,6,3,266184,75.53,10,10,20.84,0
Volkswagen,Vento,2017,Petrol,Manual,103117,Second,Kolkata,15,1598,4,938901,260357,244735,52,6,8,671659,27.73,5.81,7,2.52,0
Hyundai,i20,2022,Diesel,Automatic,61833,Second,Mumbai,25,1197,9,1192805,834963,768165,23,8,3,323461,70,10,10,13.5,0
Renault,Duster,2021,Petrol,Manual,50559,First,Kolkata,16,1498,6,1171533,836474,803015,54,4,4,344642,71.4,6.07,6,16.54,0
Nissan,Kicks,2015,Petrol,Manual,186552,Third,Jaipur,18,1461,2,882209,214994,180594,72,16,10,693022,24.37,2.32,4,1.15,0
Mahindra,XUV400,2019,Diesel,Manual,82368,First,Kolkata,23,0,6,1767946,826514,719067,52,13,6,898632,46.75,6.94,9,10.03,0
Volkswagen,Polo,2022,Petrol,Automatic,55587,First,Chandigarh,13,999,9,1113297,784985,769285,22,2,3,346826,70.51,7.29,7,14.12,0
Mahindra,XUV700,2025,Petrol,Automatic,500,First,Bangalore,13,2184,9,2863133,2719976,2665576,19,2,0,0,95,7.81,9,5439.95,1
Mahindra,XUV300,2022,Petrol,Manual,22934,First,Surat,15,1199,10,1103007,769788,754392,25,2,3,335494,69.79,8.87,7,33.57,0
Hyundai,Alcazar,2022,Petrol,Manual,33352,First,Jaipur,18,1999,7,2428717,1606110,1493682,41,7,3,833136,66.13,7.06,9,48.16,0
Ford,Figo,2021,Petrol,Manual,35092,Second,Pune,17,1194,10,971679,618085,574819,,7,4,349459,63.61,9.63,6,17.61,0
Skoda,Slavia,2016,Petrol,Automatic,173567,Third,Ahmedabad,18,1498,5,1257050,374475,333282,55,11,9,897696,29.79,6.93,7,2.16,0
Toyota,Innova,2023,Petrol,Automatic,25327,First,Chennai,,2393,8,2775686,2163647,2077101,19,4,2,583397,77.95,9.58,8,85.43,0
Maruti,WagonR,2023,Petrol,Automatic,21241,First,Lucknow,22,1196,8,899737,706563,586447,21,17,2,197290,78.53,8.41,10,,0
Skoda,Kodiaq,2024,Petrol,Automatic,10308,First,Coimbatore,16,1984,9,5232258,4609096,3779458,11,18,1,583958,88.09,7.66,6,447.14,1
Maruti,Brezza,2020,Petrol,Manual,45334,First,Nagpur,,1462,6,1066659,613222,502842,27,18,5,461391,57.49,8.69,9,13.53,0
Toyota,Glanza,2024,CNG,Automatic,14343,Second,Pune,20,1197,9,1099843,998987,899088,28,10,1,131657,90.83,7.89,9,69.65,0
Toyota,Fortuner,2025,Diesel,Manual,397,Fourth,Ahmedabad,17,2755,8,5466249,5192936,4621713,32,11,0,0,95,7.53,9,22616.94,1
Tata,Altroz,2024,CNG,Automatic,24005,Third,Ahmedabad,26,1199,8,1152701,1009304,948745,21,6,1,139689,87.56,8.89,8,42.05,0
Honda,Amaze,2013,Diesel,Manual,300441,Third,Ahmedabad,17,1199,1,806616,120992,99213,80,18,12,709169,15,2.73,7,0.4,0
Mahindra,XUV300,2018,Petrol,Automatic,170834,Fourth,Delhi,16,1199,4,986973,455981,405823,59,11,7,526527,46.2,5.95,8,2.67,0
Ford,Figo,2019,Diesel,Manual,72065,Second,Pune,22,1194,7,893257,467084,383008,52,18,6,436308,52.29,7.34,6,6.48,0
Hyundai,i20,2025,Petrol,Automatic,500,First,Pune,19,1197,10,1137225,1080363,939915,12,13,0,0,95,10,10,2160.73,0
Hyundai,i20,2025,Diesel,Manual,609,Second,Surat,19,1197,9,1132025,1075423,1010897,22,6,0,0,95,9.79,8,1765.88,0
Skoda,Kodiaq,2019,Diesel,Automatic,108021,Second,Hyderabad,,1984,6,4191596,2125139,1827619,42,14,6,2154660,50.7,6.88,5,19.67,1
MG,Hector,2024,Diesel,Manual,19366,Second,Kolkata,16,1956,10,2482402,2140078,2054474,23,4,1,289259,86.21,7.94,6,110.51,0
Honda,HR-V,2021,Diesel,Manual,41798,Second,Nagpur,19,1498,6,1477054,981059,814278,44,17,4,508156,66.42,6.23,7,23.47,0
Mahindra,Scorpio,2018,Petrol,Manual,197031,Fourth,Mumbai,19,2184,4,1617305,747518,598014,46,20,7,830062,46.22,4.24,7,3.79,0
Mahindra,Thar,2014,Diesel,Manual,236274,Second,Pune,16,2184,5,1666095,249914,214926,60,14,11,1637530,15,5.33,7,1.06,0
Kia,Sonet,2019,CNG,Automatic,79242,Second,Chennai,26,1197,6,1056773,488757,478981,51,2,6,580540,46.25,7.26,7,6.17,0
Toyota,Urban Cruiser,2022,Petrol,Automatic,34468,First,Chandigarh,19,1464,9,1229349,847636,796777,41,6,3,399217,68.95,9.54,8,60.53,0
Toyota,Innova,2025,Petrol,Automatic,22,Fourth,Lucknow,18,2393,8,2890691,2746156,2526463,35,8,0,0,95,7.15,8,124825.27,0
Renault,Duster,2017,Petrol,Manual,202263,Third,Coimbatore,18,1498,7,1178177,448060,412215,55,8,8,713905,38.03,5.95,6,2.22,0
Tata,Punch,2014,CNG,Manual,87829,First,Pune,29,1199,4,667292,109035,91589,45,16,11,561743,16.34,4.98,8,1.24,0
Mahindra,Thar,2023,Petrol,Manual,39280,Second,Mumbai,13,2184,9,2296506,1732484,1576560,37,9,2,515500,75.44,7.72,9,44.11,0
Tata,Nexon,2021,Petrol,Manual,65040,First,Jaipur,19,1495,6,1238561,786857,645222,44,18,4,427623,63.53,8.45,8,12.1,0
Maruti,Swift,2022,Petrol,Manual,35800,Second,Nagpur,16,1197,7,903792,622351,528998,37,15,3,261151,68.86,6.9,9,17.38,0
Honda,Jazz,2024,Petrol,Automatic,9822,First,Hyderabad,17,1199,10,1104761,947995,834235,37,12,1,126468,85.81,8.13,7,96.52,0
Mahindra,Scorpio,2023,Diesel,Manual,33403,Second,Mumbai,21,2184,7,2010801,1623319,1525919,42,6,2,385234,80.73,9.67,9,48.6,0
Maruti,Alto,2022,Petrol,Automatic,41092,Second,Pune,22,796,8,524737,358972,344613,24,4,3,157082,68.41,9.02,10,8.74,0
Tata,Punch,2020,Petrol,Automatic,49617,Second,Chandigarh,20,1199,10,1067183,633266,614268,46,3,5,456762,59.34,9.56,7,12.76,0
Hyundai,Venue,2025,Diesel,Manual,500,First,Coimbatore,27,1197,10,1296478,1231654,1096172,34,11,0,0,95,8.58,10,2463.31,0
Maruti,Dzire,2023,Diesel,Manual,50333,Fourth,Bhopal,19,1197,8,931698,772284,695055,33,10,2,164193,82.89,9.15,10,15.34,0
Mahindra,Thar,2020,Petrol,Automatic,90197,Second,Bhopal,14,2184,7,2109545,1291885,1201453,48,7,5,872204,61.24,7.57,7,14.32,0
Honda,Elevate,2021,Diesel,Automatic,36154,First,Jaipur,26,1200,7,1032588,717029,695518,39,3,4,300022,69.44,6.36,8,19.83,0
Skoda,Slavia,2022,Diesel,Manual,55862,Second,Chandigarh,28,1498,9,1669273,1206550,1013502,25,16,3,495770,72.28,9.33,7,21.6,0
Toyota,Glanza,2014,Diesel,Manual,210941,Second,Nagpur,18,1197,3,683636,156621,133127,50,15,11,527567,22.91,5.46,9,0.74,0
Kia,Seltos,2019,Petrol,Manual,82699,Second,Chandigarh,22,1497,7,1254807,636312,604496,53,5,6,643929,50.71,8.09,8,7.69,0
Hyundai,Aura,2018,Petrol,Manual,165116,Fourth,Pune,15,1197,5,717065,359034,323130,37,10,7,379021,50.07,6.32,9,2.17,0
Kia,Seltos,2014,Petrol,Automatic,87785,First,Hyderabad,18,1497,5,1039058,155858,132479,57,15,11,947772,15,6.38,8,1.78,0
Ford,Aspire,2015,Petrol,Manual,124401,First,Hyderabad,13,1194,3,831782,164526,141492,43,14,10,689807,19.78,5.03,4,1.32,0
Hyundai,Creta,2023,Diesel,Manual,27726,Second,Bhopal,28,1493,8,1627550,1265094,1227141,30,3,2,314988,77.73,8.1,10,45.63,0
Kia,Carens,2023,Petrol,Manual,21424,First,Mumbai,18,1499,9,1596785,1284134,1207085,43,6,2,274086,80.42,9.29,6,59.94,0
Maruti,Swift,2023,Petrol,Manual,20988,Third,Kolkata,21,1195,9,951904,751337,706256,48,6,2,207205,78.93,8.8,10,35.8,0
Kia,Sonet,2025,Diesel,Manual,500,First,Nagpur,19,1197,9,1191730,1132143,1041571,31,8,0,0,95,7.23,6,2264.29,0
Maruti,Dzire,2023,Petrol,Manual,22162,Second,Chennai,14,1197,8,1052881,851570,800475,42,6,2,195896,80.88,10,10,38.42,0
Skoda,Octavia,2020,Petrol,Automatic,82638,Second,Nagpur,18,1984,7,3541716,2163988,2012508,36,7,5,1407993,61.1,5.83,7,26.19,1
MG,Astor,2024,PETROL,Automatic,9476,Second,Delhi,13,1497,10,1574941,1352401,1176588,35,13,1,210555,85.87,9.08,7,142.72,0
Nissan,Kicks,2020,Petrol,Manual,79119,Second,Chennai,16,1461,6,1184196,694057,666294,51,4,5,522468,58.61,5.78,4,8.77,0
Kia,Sonet,2021,CNG,Automatic,76817,Second,Hyderabad,23,1197,10,1182900,763207,663990,39,13,4,423238,64.52,7.57,7,9.94,0
Hyundai,Aura,2025,Petrol,Manual,500,First,Coimbatore,17,1197,10,1040203,988192,849845,11,14,0,0,95,9.8,10,1976.38,0
Maruti,Alto,2023,Petrol,Manual,31705,First,Pune,13,796,7,561885,429448,416564,31,3,2,125162,76.43,9.4,10,13.55,0
Nissan,Kicks,2010,Petrol,Automatic,214755,Fourth,Chandigarh,13,1461,1,669744,100461,84387,80,16,15,702637,15,1.31,5,0.47,0
Tata,Punch,2019,CNG,Automatic,136863,Second,Chennai,28,1199,7,1026682,544449,479115,30,12,6,470912,53.03,8.59,8,3.98,0
Maruti,Dzire,2024,Petrol,Automatic,16707,First,Hyderabad,17,1197,10,994751,863742,716905,28,17,1,116998,86.83,10,10,51.7,0
Maruti,Alto,2023,Petrol,Manual,39183,Second,Coimbatore,15,796,9,541424,401357,361221,31,10,2,123885,74.13,8.12,10,10.24,0
Volkswagen,Vento,2021,Diesel,Manual,75635,Second,Ahmedabad,24,1598,8,1233091,894484,787145,50,12,4,354447,72.54,7.29,5,11.83,0
Nissan,Kicks,2013,Petrol,Automatic,145148,Second,Pune,16,1461,3,788872,118330,112413,66,5,12,719881,15,4.22,4,0.82,0
Renault,Duster,2019,Diesel,Manual,107273,Second,Chennai,22,1498,5,1245287,693998,569078,35,18,6,583182,55.73,6.94,7,6.47,0
MG,Hector,2023,Petrol,Automatic,25929,First,Lucknow,17,1956,10,2104092,1686850,1400085,16,17,2,373890,80.17,8.18,8,65.06,0
Hyundai,Verna,2022,Petrol,Manual,90574,Fourth,Nagpur,20,1497,6,1382459,948643,787373,,17,3,456865,68.62,7.24,9,10.47,0
Maruti,Ertiga,2022,Diesel,Automatic,70950,Second,Chandigarh,23,1462,9,1268336,863102,716374,42,17,3,376141,68.05,8.18,10,12.16,0
Kia,Carens,2018,Petrol,Manual,155427,Third,Bhopal,17,1497,5,1364227,566154,520861,60,8,7,791043,41.5,4.38,6,3.64,0
Toyota,Innova,2019,Diesel,Manual,65903,First,Surat,17,2393,5,2649029,1461734,1286325,37,12,6,1211844,55.18,6.05,10,22.18,0
Volkswagen,Virtus,2021,Diesel,Automatic,65131,First,Nagpur,26,1498,9,1314935,922952,830656,22,10,4,363727,70.19,6.89,5,14.17,0
Kia,Sonet,2024,Petrol,Automatic,17184,Second,Bangalore,21,1197,10,1324296,1154653,1131559,13,2,1,178476,87.19,8.43,8,67.19,0
Nissan,Magnite,2017,Petrol,Manual,124613,Second,Bhopal,14,997,5,892030,312656,265757,45,15,8,575847,35.05,5.12,5,2.51,0
Toyota,Camry,2019,Diesel,Automatic,94883,First,Ahmedabad,18,2487,5,6140352,3336053,2835645,41,15,6,2828524,54.33,6.73,9,35.16,1
Hyundai,Aura,2018,Petrol,Manual,119941,First,Lucknow,20,1196,6,746052,296257,245893,34,17,7,428056,39.71,5.97,8,2.47,0
Maruti,WagonR,2020,Petrol,Automatic,82023,First,Hyderabad,20,1197,7,713461,387623,317850,27,18,5,316163,54.33,7.52,10,4.73,0
Maruti,Swift,2022,CNG,Manual,39748,Second,Surat,23,1197,9,871326,617857,574607,22,7,3,250099,70.91,7.73,9,15.54,0
Maruti,Ertiga,2015,CNG,Manual,135923,Second,Chennai,24,1462,4,938066,275040,239284,66,13,10,674061,29.32,6.31,10,2.02,0
Skoda,Octavia,2014,Diesel,Automatic,149227,First,Chennai,28,1984,4,2340789,594560,529158,50,11,11,1775312,25.4,5.02,7,3.98,1
Mahindra,XUV300,2014,Petrol,Automatic,160840,Second,Coimbatore,21,1199,3,779608,159351,140228,,12,11,629020,20.44,5.15,9,0.99,0
Skoda,Octavia,2019,Petrol,Automatic,112550,Fourth,Mumbai,16,1984,6,3163061,1705522,1500859,34,12,6,1448201,53.92,7.61,6,15.15,1
Nissan,Magnite,2024,Diesel,Manual,27752,Third,Surat,27,999,10,1155707,1028925,812850,36,21,1,130349,89.03,6.59,4,37.08,0
Volkswagen,Polo,2025,Diesel,Manual,500,First,Chennai,27,999,10,1255625,1192843,1049701,21,12,0,0,95,10,6,2385.69,0
Tata,Altroz,2023,Petrol,Manual,40274,First,Bangalore,20,1199,8,978261,774684,759190,34,2,2,202621,79.19,8.47,9,19.24,0
Renault,Kiger,2024,Petrol,Manual,15509,First,Coimbatore,21,999,10,963708,856736,805331,22,6,1,125649,88.9,7.69,5,55.24,0
Ford,EcoSport,2023,PETROL,Manual,21371,First,Chennai,14,1497,10,1372588,1155581,947576,36,18,2,243683,84.19,8.1,5,54.07,0
Kia,Seltos,2025,Petrol,Automatic,2646,Second,Delhi,14,1497,10,1428226,1356814,1302541,21,4,0,0,95,10,8,512.78,0
MG,Gloster,2024,Petrol,Automatic,10645,Third,Surat,18,1996,9,4573248,4048696,3522365,31,13,1,513535,88.53,8.63,6,380.34,1
Ford,Endeavour,2024,Petrol,Automatic,14350,Third,Ahmedabad,17,1996,9,6171823,5610187,4768658,38,15,1,736461,90.9,9.51,6,390.95,1
Mahindra,Bolero,2010,Diesel,Automatic,327994,Third,Coimbatore,22,1493,1,701973,105295,93712,65,11,15,795541,15,5.28,9,0.32,0
Renault,Kiger,2022,Petrol,Manual,49028,First,Surat,16,1001,7,908340,625028,575025,32,8,3,290796,68.81,7.91,5,12.75,0
Nissan,Magnite,2021,Petrol,Manual,85945,Fourth,Hyderabad,14,999,5,931147,608504,517228,54,15,4,333107,65.35,4.91,4,7.08,0
Skoda,Kushaq,2024,Petrol,Manual,13586,First,Chandigarh,16,1498,10,1634075,1483249,1334924,21,10,1,190751,90.77,8.68,6,109.17,0
Skoda,Octavia,2023,Petrol,Automatic,20087,Second,Mumbai,15,1984,10,3705320,2917939,2626145,13,10,2,774938,78.75,9.34,6,145.27,1
Maruti,Brezza,2022,Diesel,Manual,50952,Second,Bhopal,24,1462,9,1134821,742059,675273,26,9,3,372687,65.39,9.23,10,14.56,0
Skoda,Kodiaq,2017,Diesel,Automatic,182623,Second,Bhopal,18,1984,4,4389413,1894031,1609926,43,15,8,2493994,43.15,6.36,5,10.37,1
Hyundai,Creta,2023,Petrol,Manual,15806,Second,Chandigarh,15,1493,9,1602263,1242074,1105445,33,11,2,314581,77.52,7.51,8,78.58,0
Maruti,Ciaz,2024,Petrol,Manual,15211,Second,Nagpur,17,1462,10,1187386,1024357,870703,37,15,1,158942,86.27,10,9,67.34,0
Volkswagen,Polo,2022,Diesel,Manual,75840,Fourth,Chandigarh,26,999,7,1008133,736138,588910,35,20,3,275350,73.02,5.53,5,9.71,0
Nissan,Terrano,2020,Diesel,Automatic,72292,Second,Bangalore,20,1461,8,1253574,711152,661371,37,7,5,526699,56.73,7.33,5,9.84,0
Mahindra,Bolero,2021,Petrol,Automatic,55460,Second,Jaipur,14,1493,8,1355636,938371,816382,22,13,4,382664,69.22,7.92,7,16.92,0
Hyundai,Aura,2024,CNG,Manual,16255,First,Kolkata,24,1197,10,880647,775497,697947,39,10,1,101141,88.06,9.92,10,47.71,0
Renault,Kwid,2023,Petrol,Automatic,21859,First,Mumbai,15,799,9,609145,486585,452524,22,7,2,110551,79.88,9.57,7,22.26,0
Volkswagen,Polo,2023,Diesel,Manual,36086,Third,Kolkata,19,999,6,940674,722061,592090,32,18,2,208591,76.76,7.29,6,20.01,0
Kia,Sonet,2024,Petrol,Manual,6465,First,Pune,20,1197,10,1178576,992596,962818,26,3,1,150601,84.22,7.67,6,153.53,0
Maruti,Dzire,2015,Diesel,Manual,152805,Second,Delhi,23,1197,3,659553,98932,85081,42,14,10,585262,15,6.53,10,0.65,0
Nissan,Kicks,2021,CNG,Automatic,104063,Third,Bhopal,28,1461,6,1342344,919371,707915,40,23,4,404757,68.49,6.38,4,8.83,0
Nissan,Terrano,2024,Petrol,Manual,15723,Third,Surat,21,1461,10,1381089,1209695,1016143,45,16,1,188931,87.59,9.91,6,76.94,0
Hyundai,Creta,2023,Petrol,Manual,16924,Second,Chandigarh,22,1495,9,1754933,1453961,1250406,30,14,2,310515,82.85,8.79,10,85.91,0
Tata,Harrier,2013,Petrol,Manual,360365,Third,Coimbatore,13,1956,1,1430343,214551,201677,76,6,12,1306162,15,3.18,8,0.6,0
Kia,Seltos,2020,Petrol,Manual,113090,Third,Bangalore,16,1497,5,1252915,784575,745346,42,5,5,500630,62.62,7.73,7,6.94,0
Hyundai,Creta,2017,Petrol,Manual,222443,Fourth,Chandigarh,17,1493,4,1224330,471367,433657,55,8,8,724218,38.5,7.11,9,2.12,0
Honda,Elevate,2018,Petrol,Automatic,84685,First,Kolkata,,1200,5,1068377,525855,504820,59,4,7,559241,49.22,4.58,7,6.21,0
Tata,Tigor,2021,Petrol,Manual,55533,Second,Mumbai,15,1199,6,773940,575966,489571,24,15,4,213573,74.42,6.59,8,10.37,0
Renault,Kiger,2021,Petrol,Manual,85689,Third,Jaipur,18,999,6,841758,619281,495424,42,20,4,246970,73.57,6.83,7,7.23,0
Maruti,Dzire,2020,CNG,Manual,119727,Third,Bangalore,29,1197,5,1019516,563588,512865,46,9,5,466611,55.28,8.75,10,4.71,0
Maruti,WagonR,2024,Diesel,Automatic,20312,Third,Bhopal,18,1197,10,866375,757558,636348,34,16,1,117504,87.44,10,10,37.3,0
Honda,Elevate,2023,Petrol,Automatic,32516,Third,Bhopal,19,1200,6,1251983,955137,840520,49,12,2,261277,76.29,7.71,8,29.37,0
Ford,Figo,2020,Petrol,Manual,103704,Fourth,Chandigarh,19,1194,7,805145,458852,417555,45,9,5,328297,56.99,7.34,5,4.42,0
Mahindra,XUV300,2021,Petrol,Manual,102861,Fourth,Pune,18,1199,5,1048207,662990,556911,49,16,4,381881,63.25,7.95,7,6.45,0
Maruti,WagonR,2025,Petrol,Manual,500,Second,Hyderabad,21,1197,10,979131,930174,865061,17,7,0,0,95,9.78,9,1860.35,0
Kia,Sonet,2020,Diesel,Automatic,50143,First,Kolkata,18,1197,8,1051053,614025,521921,44,15,5,461716,58.42,6.23,7,12.25,0
Mahindra,XUV700,2016,Petrol,Manual,104831,First,Chandigarh,19,2184,4,2045563,647216,550133,52,15,9,1383628,31.64,5.73,8,6.17,1
Maruti,Swift,2014,Petrol,Manual,245453,Third,Mumbai,17,1197,2,636086,95412,72513,55,24,11,606884,15,3.56,9,0.39,0
Skoda,Slavia,2021,Diesel,Manual,92012,Third,Mumbai,27,1498,6,1451955,953789,858410,37,10,4,489075,65.69,5.22,6,10.37,0
Maruti,Ciaz,2020,Diesel,Manual,50908,First,Chandigarh,21,1462,6,1031762,547143,492428,37,10,5,457882,53.03,6.54,10,10.75,0
Renault,Kiger,2023,CNG,Automatic,25913,First,Delhi,22,999,9,1090831,856847,728319,22,15,2,233353,78.55,6.97,5,33.07,0
Volkswagen,Virtus,2020,Petrol,Manual,60730,First,Delhi,19,1498,8,1569284,869226,756226,34,13,5,686039,55.39,6.3,5,14.31,0
Kia,EV6,2019,Petrol,Manual,129211,Second,Chennai,13,0,6,7382017,3358817,2787818,32,17,6,3855327,45.5,5.29,7,25.99,1
Ford,Endeavour,2024,Petrol,Automatic,15650,Third,Coimbatore,22,1996,10,6675055,5645761,4573066,30,19,1,835186,84.58,8.27,6,360.75,1
Mahindra,XUV700,2024,Diesel,Automatic,11907,First,chandigarh,16,2184,10,2574841,2361129,2125016,8,10,1,285616,91.7,9.21,9,198.3,1
